Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:53:04.376,TRACE,<940:MainThread> logger.py:81,"Inserted a verification key into ""87abb5e66d7c40ecb23064516992802b"" on host 206.12.91.107"
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:53:04.465,INFO,<940:MainThread> single_machine_validator.py:123,All target hosts point to the same machine
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:53:04.465,INFO,<940:MainThread> single_machine_validator.py:92,Checking whether source host is the same as target
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:53:49.074,DEBUG,<940:MainThread> single_machine_validator.py:128,Source and target are located on different machines
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:53:53.771,TRACE,<940:MainThread> logger.py:81,"Removed test table: ""87abb5e66d7c40ecb23064516992802b"" on host: 206.12.91.107"
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:53:53.771,DEBUG,<940:MainThread> migration_runner.py:244,Verifying db2 version on source...
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:54:09.175,INFO,<940:MainThread> migration_runner.py:247,db2 version on source: 11.5.9.0
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:54:09.264,DEBUG,<940:MainThread> migration_runner.py:258,Verifying db2 version on target...
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:54:13.071,INFO,<940:MainThread> migration_runner.py:261,db2 version on target: 11.5.9.0
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:54:13.167,INFO,<940:MainThread> db_handler.py:1028,"Getting {('DB2INST1', 'ORDERS10'), ('DB2INST1', 'LINEITEM1'), ('DB2INST1', 'ORDERS2')} sizes from the database."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:07.973,DEBUG,<940:MainThread> db_handler.py:1033,Query for getting table sizes took: 0:00:54.805492
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:07.974,DEBUG,<940:MainThread> db_handler.py:1053,"Table size processing took: -1 day, 23:59:59.998871"
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:07.975,DEBUG,<940:MainThread> table_splitter.py:68,"Big tables: [(('DB2INST1', 'ORDERS2'), 1825.75)]"
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:07.976,DEBUG,<940:MainThread> table_splitter.py:70,"Small tables: [(('DB2INST1', 'ORDERS10'), 275.75), (('DB2INST1', 'LINEITEM1'), 674.875)]"
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.064,DEBUG,<940:MainThread> scenario.py:120,Big workers number: 1
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.065,DEBUG,<940:MainThread> scenario.py:121,Small workers number: 2.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.169,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.170,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.171,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.171,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.172,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.264,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.265,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.265,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.266,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.266,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.267,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:08.268,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.378,INFO,<986:MainThread> base_migration.py:230,Starting the transferring process...
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,------------------------------------------------------------------------------------------
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.379,TRACE,<986:MainThread> logger.py:81,"""DB2INST1"".""ORDERS10"" -> ""DB2INST1"".""ORDERS10"""
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.379,INFO,<986:MainThread> base_migration.py:147,"Searching for ""DB2INST1"".""ORDERS10"" (tables) on source..."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.667,INFO,<987:MainThread> base_migration.py:230,Starting the transferring process...
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.667,INFO,<985:MainThread> base_migration.py:230,Starting the transferring process...
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,------------------------------------------------------------------------------------------
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.765,TRACE,<987:MainThread> logger.py:81,"""DB2INST1"".""ORDERS2"" -> ""DB2INST1"".""ORDERS2"""
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.765,INFO,<987:MainThread> base_migration.py:147,"Searching for ""DB2INST1"".""ORDERS2"" (tables) on source..."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,------------------------------------------------------------------------------------------
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.766,TRACE,<985:MainThread> logger.py:81,"""DB2INST1"".""LINEITEM1"" -> ""DB2INST1"".""LINEITEM1"""
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:55:09.766,INFO,<985:MainThread> base_migration.py:147,"Searching for ""DB2INST1"".""LINEITEM1"" (tables) on source..."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:56:13.665,INFO,<986:MainThread> base_migration.py:155,"Searching for ""DB2INST1"".""ORDERS10"" (tables) on target..."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:56:13.764,INFO,<987:MainThread> base_migration.py:155,"Searching for ""DB2INST1"".""ORDERS2"" (tables) on target..."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:56:16.664,INFO,<985:MainThread> base_migration.py:155,"Searching for ""DB2INST1"".""LINEITEM1"" (tables) on target..."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:56:24.664,INFO,<987:MainThread> base_migration.py:158,"""DB2INST1"".""ORDERS2"" could not be found on the target database"
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:56:24.668,INFO,<987:MainThread> db_handler.py:270,"Creating ""DB2INST1"".""ORDERS2""..."
